2025-08-12 23:20:56 | INFO     | main:lifespan:41 | Application startup complete
2025-08-12 23:21:22 | INFO     | main:lifespan:46 | Shutting down Healthcare Voice AI Assistant...
2025-08-12 23:21:34 | INFO     | main:lifespan:41 | Application startup complete
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:33 | Request: GET /
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:47 | Response: GET / (0.124s)
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:33 | Request: GET /styles.css
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:33 | Request: GET /app.js
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:47 | Response: GET /styles.css (0.076s)
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:47 | Response: GET /app.js (0.050s)
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:33 | Request: GET /favicon.ico
2025-08-12 23:21:34 | INFO     | app.middleware:__call__:47 | Response: GET /favicon.ico (0.034s)
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:33 | Request: GET /
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:47 | Response: GET / (0.018s)
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:33 | Request: GET /styles.css
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:33 | Request: GET /script.js
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:47 | Response: GET /script.js (0.012s)
2025-08-12 23:31:11 | INFO     | app.middleware:__call__:47 | Response: GET /styles.css (0.036s)
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:33 | Request: GET /
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:47 | Response: GET / (0.019s)
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:33 | Request: GET /script.js
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:33 | Request: GET /styles.css
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:47 | Response: GET /script.js (0.017s)
2025-08-12 23:31:24 | INFO     | app.middleware:__call__:47 | Response: GET /styles.css (0.018s)
2025-08-12 23:31:37 | INFO     | app.middleware:__call__:33 | Request: POST /api/chat/send
2025-08-12 23:31:37 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:31:38 | INFO     | app.middleware:__call__:47 | Response: POST /api/chat/send (0.019s)
2025-08-12 23:31:57 | INFO     | app.middleware:__call__:33 | Request: POST /api/chat/send
2025-08-12 23:31:57 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:31:57 | INFO     | app.middleware:__call__:47 | Response: POST /api/chat/send (0.015s)
2025-08-12 23:33:07 | INFO     | app.middleware:__call__:33 | Request: POST /api/chat/send
2025-08-12 23:33:07 | ERROR    | app.api.chat:send_message:225 | Chat processing failed: 'Core' object has no attribute 'now'
2025-08-12 23:33:07 | INFO     | app.middleware:__call__:47 | Response: POST /api/chat/send (0.075s)
2025-08-12 23:34:34 | INFO     | main:lifespan:41 | Application startup complete
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:33 | Request: GET /
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:47 | Response: GET / (0.125s)
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:33 | Request: GET /script.js
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:33 | Request: GET /styles.css
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:47 | Response: GET /script.js (0.018s)
2025-08-12 23:34:34 | INFO     | app.middleware:__call__:47 | Response: GET /styles.css (0.022s)
2025-08-12 23:34:50 | INFO     | app.middleware:__call__:33 | Request: POST /api/voice/transcribe
2025-08-12 23:34:50 | INFO     | app.middleware:__call__:47 | Response: POST /api/voice/transcribe (0.011s)
2025-08-12 23:36:43 | INFO     | main:lifespan:41 | Application startup complete
